kernel;c_value;gamma;degree;class;precision;recall;f1;accuracy
poly;1.00;scale;2;0;0.9853;0.9873;0.9863;0.9884
poly;1.00;scale;2;1;0.9991;1.0000;0.9995;0.9997
poly;1.00;scale;2;2;0.9833;0.9798;0.9816;0.9886
poly;1.00;scale;3;0;0.9838;0.9877;0.9858;0.9879
poly;1.00;scale;3;1;0.9996;1.0000;0.9998;0.9999
poly;1.00;scale;3;2;0.9835;0.9778;0.9806;0.9880
poly;1.00;scale;4;0;0.9812;0.9880;0.9846;0.9869
poly;1.00;scale;4;1;0.9996;1.0000;0.9998;0.9999
poly;1.00;scale;4;2;0.9838;0.9741;0.9789;0.9870
poly;1.00;scale;5;0;0.9751;0.9898;0.9824;0.9850
poly;1.00;scale;5;1;0.9997;1.0000;0.9999;0.9999
poly;1.00;scale;5;2;0.9860;0.9654;0.9756;0.9851
poly;1.00;scale;6;0;0.9654;0.9921;0.9785;0.9816
poly;1.00;scale;6;1;0.9998;1.0000;0.9999;0.9999
poly;1.00;scale;6;2;0.9889;0.9514;0.9698;0.9816
poly;10.00;scale;2;0;0.9846;0.9867;0.9857;0.9878
poly;10.00;scale;2;1;0.9990;0.9999;0.9994;0.9997
poly;10.00;scale;2;2;0.9826;0.9790;0.9808;0.9881
poly;10.00;scale;3;0;0.9827;0.9875;0.9851;0.9874
poly;10.00;scale;3;1;0.9993;0.9999;0.9996;0.9998
poly;10.00;scale;3;2;0.9834;0.9764;0.9799;0.9876
poly;10.00;scale;4;0;0.9794;0.9897;0.9845;0.9868
poly;10.00;scale;4;1;0.9998;1.0000;0.9999;0.9999
poly;10.00;scale;4;2;0.9859;0.9716;0.9787;0.9869
poly;10.00;scale;5;0;0.9738;0.9922;0.9829;0.9854
poly;10.00;scale;5;1;0.9998;1.0000;0.9999;0.9999
poly;10.00;scale;5;2;0.9892;0.9635;0.9762;0.9854
poly;10.00;scale;6;0;0.9711;0.9930;0.9819;0.9845
poly;10.00;scale;6;1;0.9998;1.0000;0.9999;0.9999
poly;10.00;scale;6;2;0.9903;0.9595;0.9747;0.9846
poly;0.10;scale;3;0;0.9767;0.9877;0.9822;0.9848
poly;0.10;scale;3;1;0.9997;1.0000;0.9999;0.9999
poly;0.10;scale;3;2;0.9832;0.9678;0.9754;0.9849
poly;0.10;scale;2;0;0.9769;0.9902;0.9835;0.9859
poly;0.10;scale;2;1;0.9992;1.0000;0.9996;0.9998
poly;0.10;scale;2;2;0.9870;0.9679;0.9774;0.9861
poly;0.10;scale;4;0;0.9732;0.9876;0.9803;0.9832
poly;0.10;scale;4;1;0.9999;1.0000;1.0000;1.0000
poly;0.10;scale;4;2;0.9827;0.9628;0.9727;0.9833
poly;0.10;scale;5;0;0.9663;0.9884;0.9772;0.9805
poly;0.10;scale;5;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;5;2;0.9836;0.9529;0.9680;0.9805
poly;0.10;scale;6;0;0.9523;0.9896;0.9706;0.9746
poly;0.10;scale;6;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;6;2;0.9849;0.9322;0.9578;0.9746
poly;10.00;scale;1;0;0.9794;0.9885;0.9839;0.9863
poly;10.00;scale;1;1;0.9982;1.0000;0.9991;0.9995
poly;10.00;scale;1;2;0.9855;0.9715;0.9785;0.9868
poly;1.00;scale;1;0;0.9775;0.9898;0.9836;0.9860
poly;1.00;scale;1;1;0.9984;1.0000;0.9992;0.9996
poly;1.00;scale;1;2;0.9872;0.9688;0.9779;0.9865
poly;0.10;scale;1;0;0.9748;0.9876;0.9812;0.9839
poly;0.10;scale;1;1;0.9986;1.0000;0.9993;0.9996
poly;0.10;scale;1;2;0.9839;0.9651;0.9744;0.9843
